id,concepts,relations,elements,role,scene,encoding&recognition [ms],learning&structuring [ms]
1625761154536,8,8,4,7,19,5706,42171
1625761154610,2,2,4,6,17,1522,84334
1625761156074,6,2,4,6,21,4624,65362
1625761194646,4,4,4,9,19,5404,79982
1625761202546,6,4,4,7,20,2349,69633
1625761207928,6,6,4,7,20,3920,64461
1625761208854,6,8,4,8,19,3789,59946
1625761211890,4,2,4,6,19,3734,96667
1625761218245,2,4,4,7,18,507,101019
1625761225695,8,6,4,7,21,9099,66538
1625761228405,8,8,4,6,20,8212,56374
1625761235834,4,6,4,7,20,4563,79777
1625761236750,4,8,4,9,19,7097,75997
1625761238301,6,2,4,6,22,665,80782
1625761240123,2,8,4,8,18,1280,96674
1625761241378,6,2,10,18,1,1007,3
1625761245085,6,2,10,18,2,1823,34
1625761248921,6,2,10,18,3,1809,158
1625761251041,2,6,4,7,19,5849,104305
1625761253113,6,2,10,18,4,1811,302
1625761257729,6,2,10,18,5,1992,682
1625761263585,6,2,10,18,6,1789,1475
1625761271303,6,2,10,18,7,2144,2975
1625761280261,6,2,10,18,8,2372,4385
1625761282971,2,2,4,6,18,3552,120740
1625761292835,6,2,10,18,9,2263,7887
1625761301129,6,6,4,9,21,4937,83226
1625761303059,6,4,4,7,21,3108,93920
1625761303327,4,4,4,9,20,1735,104911
1625761308478,6,2,10,18,10,1843,11922
1625761312793,8,8,4,7,21,6612,71066
1625761315379,6,8,4,8,20,9894,84310
1625761326207,8,6,4,9,22,7268,85123
1625761334156,6,2,10,18,11,2940,19525
1625761336149,4,2,4,6,20,1016,122092
1625761342195,8,6,10,20,1,3818,0
1625761343370,4,6,4,8,21,3504,100107
1625761344773,4,8,4,8,20,3439,99242
1625761366257,6,2,10,18,12,2858,25289
1625761366863,8,6,10,25,2,12213,33
1625761371612,2,4,4,8,19,4947,142757
1625761386034,2,8,4,7,19,6810,131659
1625761391426,8,6,10,20,3,12717,134
1625761406258,6,2,10,18,13,2163,35786
1625761409196,6,6,4,8,22,5495,97104
1625761409831,2,6,4,8,20,6952,143105
1625761413414,8,8,4,7,22,6212,88030
1625761417147,8,6,10,24,4,12271,603
1625761421773,6,6,10,24,1,3267,0
1625761438557,8,8,10,24,1,4587,1
1625761440281,6,6,10,23,2,9081,40
1625761443647,6,4,4,7,22,9329,120908
1625761445047,8,6,10,22,5,12930,1010
