scene idx, Pre-Recognition, Learning, Posto-Recognition, Pre-Recognition, Learning, Posto-Recognition, Pre-Recognition, Learning, Post-Recognition [all in milliseconds]

    (types:2-relations:2) -> 5 Elements
9	1739	9382	1982		1420	7622	1588		1186	6118	1381
10	2193	14627	1933		1691	13552	2228		1419	9314	1428
11	1994	20133	2240		2314	19791	2617		1667	15632	2066
12	2654	39545	3076		3043	30857	2992		1688	24129	2160
13	3063	48882	5047		3373	63848	8746		2418	31676	2552
14	4609	68935	6559		7049	98710	5193		3112	51593	3376
15	7318	113519	7598		4987	72274	5025		3772	66125	4091
16	7113	124191	7815		4481	103254	5624		4338	92254	5259
17	6540	155729	7934		6333	144020	7233		6360	127680	6401
18	9424	271577	9387		8158	180487	9750		6442	167041	7920

    (types:2-relations:6) -> 11 Elements
1	266	7	2186		257	6	2009		253	6	2030
2	2161	40	2197		2002	19	2047		2068	24	2106
3	2215	91	2228		2047	75	2166		2131	75	2155
4	2290	252	2342		2148	219	2261		2171	206	2165
5	2289	624	2362		2148	571	2218		2139	523	2273
6	2398	1148	2463		2311	1066	2349		2319	1306	2554
7	2417	2322	2606		2458	1905	2580		2400	2422	2563
8	2659	3859	2776		2587	3523	2739		2562	4021	2755
9	2785	6614	3291		2764	5972	3017		2930	7048	3169
10	3208	11242	3426		2956	11674	3811		3151	11302	3432
11	3493	16246	3894		4120	17492	4318		3367	17875	3862
12	3862	26413	4520		4263	29605	4727		3812	26843	4218
13	4428	34279	4922		4652	41255	5228		4182	35367	5828
14	5554	54997	5804		5308	56987	5940		5377	56524	5806
15	6051	66944	6668		6290	77006	6960		5866	67471	6392
16	7330	98643	8548		7326	102046	8189		6751	100159	8248
17	8432	142152	9611		9654	146836	9879		8393	132423	9509
18	10396	187398	11789		11425	198547	11560		9609	174015	11067

    (types:2-relations:6) -> 17 Elements
1	517	6	4844		523	6	4896		555	7	5155
2	4743	22	4748		4941	22	4931		5177	25	5215
3	4938	74	4858		4892	94	4974		5108	89	5110
4	5007	228	5036		5109	250	5129		5150	234	5131
5	4870	675	5196		5243	706	5239		5120	651	5299
6	5043	1212	5290		5308	1275	5434		5236	1091	5402
7	5319	2139	5607		5487	2309	5591		5398	2067	5709
8	5420	4205	5778		5734	4138	6064		5715	4697	5874
9	5869	6475	6196		6068	9045	7120		5884	7202	6283
10	6410	11807	8066		7240	16061	7565		6204	13823	6768
11	7636	20921	8351		7599	24533	7960		6831	23052	7299
12	8190	31132	8848		8220	38513	8739		7295	33891	8044
13	8567	42221	9226		8607	53591	9235		8081	48908	10618
14	9486	55271	10300		9717	63666	10165		10072	73474	9912
15	10454	82731	11932		11530	96589	12111		10213	92953	11595
16	12486	112879	13831		12317	123817	14044		12910	145983	13168
17	14689	170326	15817		13680	174498	15146		13596	175057	15802
18	16107	217055	17732		15784	239020	18865		17175	234050	17933

    (types:2-relations:6) -> 30 Elements
1	1415	7	16698		1337	7	16127		3991	45	30985
2	16055	25	15920		16027	26	15919		31548	92	30988
3	15816	208	16261		15897	171	16203		33093	262	29854
4	16242	341	16173		15859	307	18138		27042	856	29030
5	16189	827	16416		18741	837	18302		28242	1402	32347
6	16413	1801	16762		18110	1770	18300		31892	3493	35135
7	16642	3375	17150		18538	3230	18551		31557	6672	32207
8	17090	6190	19977		18273	6459	18308		34092	11945	31038
9	20549	11585	20605		18760	12422	19159		28896	16722	29620
10	20398	20806	21070		18638	19789	19584		29520	33682	29571
11	20435	33898	21641		19293	30522	20308		31099	53554	33450
12	21170	47329	22234		20187	44947	21388		34560	74983	41528
13	21996	60827	23376		22130	65386	23398		45804	118463	57769
14	23675	81671	24979		23280	89669	29223		55313	177449	55688
15	24800	115093	28089		28723	148127	27325		52095	254881	56573
16	27644	160168	30931		29109	181619	31296		57875	281291	41155
17	30419	215710	34898		34678	267111	35988		40294	338952	48184
18	34900	324984	37903		37285	337028	40743		48615	482270	60755
					

######################################################################################################
    (types:4-relations:2) -> 5 Elements							
1	260	42	537		107	4	290		104	2	349
2	356	31	467		277	30	342		448	16	466
3	479	158	1059		258	99	331		541	193	613
4	445	368	704		346	374	440		469	141	361
5	626	835	689		423	1022	591		364	352	392
6	2111	2367	1930		510	1765	730		347	702	363
7	1458	4373	865		617	2577	767		431	1189	554
8	1147	8170	1134		340	4737	315		417	1763	317
9	552	6165	473		725	7890	879		650	3134	887
10	953	10285	1097		403	9383	517		1214	5954	1106
11	1149	15443	1555		404	17687	521		1079	10391	2154
12	1511	24387	1585		405	16783	552		1602	15458	1886
13	534	31787	458		662	22257	531		2675	25755	2081
14	498	43687	671		1923	40520	2551		852	40070	1340
15	3262	67505	4952		734	49115	885		3764	47887	3126
16	4201	96793	8909		4579	70801	5614		698	53251	1049
17	8129	109887	5420		5405	97579	6579		1285	76449	1532
18	5637	135324	7069		6735	135266	10502		4783	102325	5239

    (types:4-relations:2) -> 11 Elements
1	572	29	1252		372	5	1282		258	2	974
2	1336	43	1143		1191	25	1144		1036	24	895
3	1171	125	1195		1141	213	1384		959	108	974
4	2372	629	1632		2311	445	1288		1051	318	1955
5	1970	1378	2998		1374	1504	1684		1325	834	1266
6	4141	4134	1933		1603	3101	1998		1295	2140	1168
7	1649	5152	2813		1926	7220	1775		1417	4146	1691
8	3278	7741	2127		1978	10832	1894		1458	5343	1540
9	1934	14434	2115		2113	19958	2864		1528	10042	2060
10	2340	22168	2612		3023	33403	2744		1816	21239	2229
11	3000	33965	3080		3751	43156	3510		2328	27103	2768
12	3988	53751	3156		3704	69619	3838		2882	44722	3327
13	4017	73149	4672		4098	92286	5014		3064	64608	4075
14	4377	91417	4761		4915	135573	6649		3868	89194	4336
15	5795	124821	6870		6166	204189	8125		5261	118091	5528
16	7186	173307	7875		7940	221810	9685		5416	172639	7973
17	7826	267328	10609		9310	294239	9283		9044	220011	8210
18	10563	339041	13558		12292	361836	13265		7885	290539	10562

    (types:4-relations:2) -> 17 Elements
1	653	4	2393		561	3	2694		545	4	2094
2	2437	26	2609		2993	27	2603		1957	44	1938
3	2468	111	2393		2488	155	3154		2007	152	2025
